image,how_much_text_erased,how_plausible_image_is,average
304.jpg,0.9942,0.9854,0.9898
305.jpg,0.9766,0.9608,0.9687
306.jpg,0.7947,0.9872,0.8909
307.jpg,0.8494,0.8755,0.8624
308.jpg,0.9999,0.9374,0.9686
309.jpg,0.7639,0.8657,0.8148
31.jpg,0.9999,0.9478,0.9738
310.jpg,0.8511,0.9287,0.8899
311.jpg,0.9856,0.9781,0.9818
312.jpg,0.6917,0.9345,0.8131
313.jpg,0.5899,0.9708,0.7804
314.jpg,0.9917,0.9353,0.9635
315.jpg,0.7561,0.9387,0.8474
316.jpg,0.8606,0.9429,0.9018
317.jpg,0.8312,0.9608,0.896
318.jpg,0.9706,0.9202,0.9454
319.jpg,0.9988,0.9156,0.9572
32.jpg,0.984,0.9158,0.9499
320.jpg,0.9992,0.974,0.9866
321.jpg,0.8791,0.9644,0.9218
322.jpg,0.9963,0.8721,0.9342
323.jpg,0.4025,0.8797,0.6411
324.jpg,0.969,0.8763,0.9226
325.jpg,1.0,0.9536,0.9768
326.jpg,0.3573,0.9133,0.6353
327.jpg,0.9957,0.9427,0.9692
328.jpg,0.9479,0.9134,0.9306
329.jpg,1.0,0.918,0.959
33.jpg,0.8806,0.9135,0.897
330.jpg,0.9998,0.8176,0.9087
331.jpg,0.9173,0.9739,0.9456
332.jpg,0.9978,0.8511,0.9244
333.jpg,0.9878,0.9139,0.9508
334.jpg,0.9528,0.9136,0.9332
336.jpg,0.9271,0.9721,0.9496
337.jpg,0.98,0.9383,0.9592
338.jpg,0.9827,0.9209,0.9518
339.jpg,0.996,0.9454,0.9707
34.jpg,0.9999,0.8959,0.9479
340.jpg,0.9963,0.9705,0.9834
341.jpg,0.9982,0.9576,0.9779
35.jpg,0.9925,0.8738,0.9332
36.jpg,0.8905,0.94,0.9152
37.jpg,0.9976,0.9592,0.9784
38.jpg,1.0,0.9783,0.9892
39.jpg,0.9332,0.9793,0.9562
4.jpg,1.0,0.8959,0.948
41.jpg,0.9999,0.9067,0.9533
42.jpg,0.8791,0.9272,0.9032
43.jpg,0.9135,0.9002,0.9068
44.jpg,0.9916,0.9346,0.9631
45.jpg,0.9912,0.9649,0.978
46.jpg,1.0,0.965,0.9825
47.jpg,0.9995,0.9523,0.9759
48.jpg,0.9765,0.8931,0.9348
49.jpg,0.9968,0.9654,0.9811
5.jpg,0.9649,0.9572,0.961
50.jpg,0.8943,0.9309,0.9126
51.jpg,0.9707,0.82,0.8954
52.jpg,1.0,0.8964,0.9482
53.jpg,0.9357,0.9529,0.9443
54.jpg,0.92,0.9605,0.9402
55.jpg,0.9021,0.9344,0.9182
56.jpg,0.9945,0.9615,0.978
57.jpg,0.9857,0.9186,0.9522
58.jpg,1.0,0.9246,0.9623
59.jpg,1.0,0.9245,0.9622
6.jpg,0.9024,0.96,0.9312
60.jpg,0.9637,0.9629,0.9633
61.jpg,0.9935,0.9699,0.9817
62.jpg,1.0,0.8282,0.9141
63.jpg,0.9455,0.9753,0.9604
65.jpg,0.9929,0.9042,0.9486
67.jpg,0.9867,0.9193,0.953
68.jpg,0.9732,0.9787,0.976
69.jpg,0.942,0.9527,0.9474
7.jpg,0.9851,0.9472,0.9662
70.jpg,0.9994,0.9411,0.9702
71.jpg,1.0,0.8856,0.9428
72.jpg,0.9901,0.9549,0.9725
73.jpg,0.5972,0.9008,0.749
74.jpg,0.9426,0.9332,0.9379
76.jpg,0.6656,0.9167,0.7912
77.jpg,0.997,0.9326,0.9648
78.jpg,0.8326,0.91,0.8713
79.jpg,0.9942,0.9297,0.962
8.jpg,0.8517,0.9739,0.9128
80.jpg,0.9944,0.9526,0.9735
81.jpg,0.9304,0.9744,0.9524
82.jpg,0.9942,0.8677,0.931
83.jpg,0.5757,0.9331,0.7544
84.jpg,0.8735,0.9617,0.9176
85.jpg,0.9628,0.8972,0.93
86.jpg,0.4958,0.8556,0.6757
87.jpg,0.9913,0.9312,0.9612
88.jpg,0.9974,0.9498,0.9736
89.jpg,0.9788,0.933,0.9559
9.jpg,0.7829,0.9822,0.8826
91.jpg,0.993,0.958,0.9755
92.jpg,0.998,0.926,0.962
93.jpg,0.7293,0.9832,0.8562
94.jpg,0.5402,0.9538,0.747
95.jpg,0.9758,0.9596,0.9677
96.jpg,0.8719,0.8914,0.8816
97.jpg,0.5393,0.9698,0.7546
98.jpg,0.958,0.9205,0.9392
99.jpg,0.9269,0.7951,0.861
img_0.jpg,0.5516,0.9841,0.7678
img_1.jpg,0.7016,0.9565,0.829
img_10.jpg,0.8059,0.944,0.8749
img_100.jpg,0.9835,0.9678,0.9756
img_101.jpg,0.9949,0.9759,0.9854
img_102.jpg,0.9335,0.9184,0.926
img_103.jpg,1.0,0.9886,0.9943
img_104.jpg,1.0,0.9648,0.9824
img_105.jpg,0.9943,0.9806,0.9874
img_106.jpg,0.9701,0.9765,0.9733
img_107.jpg,1.0,0.9496,0.9748
img_108.jpg,0.3338,0.9604,0.6471
img_109.jpg,0.9958,0.9856,0.9907
img_11.jpg,0.8972,0.9665,0.9318
img_110.jpg,0.9725,0.9624,0.9674
img_111.jpg,0.9934,0.9085,0.951
img_112.jpg,0.8415,0.9865,0.914
img_113.jpg,1.0,0.9885,0.9942
img_114.jpg,0.9738,0.9642,0.969
img_115.jpg,0.7222,0.9906,0.8564
img_116.jpg,0.5907,0.9303,0.7605
img_117.jpg,0.9693,0.9454,0.9574
img_118.jpg,0.9599,0.9764,0.9682
img_119.jpg,1.0,0.977,0.9885
img_12.jpg,0.9995,0.9853,0.9924
img_120.jpg,0.6816,0.9438,0.8127
img_121.jpg,0.9882,0.9834,0.9858
img_122.jpg,0.9974,0.9633,0.9804
img_123.jpg,0.9637,0.9354,0.9496
img_124.jpg,0.9738,0.979,0.9764
img_125.jpg,1.0,0.9852,0.9926
img_126.jpg,0.9967,0.9953,0.996
img_127.jpg,0.7692,0.9807,0.875
img_128.jpg,1.0,0.9627,0.9814
img_129.jpg,0.9943,0.9752,0.9848
img_13.jpg,1.0,0.986,0.993
img_130.jpg,1.0,0.9819,0.991
img_131.jpg,0.9409,0.9037,0.9223
img_132.jpg,0.9395,0.9613,0.9504
img_133.jpg,0.98,0.9872,0.9836
img_134.jpg,0.9957,0.9485,0.9721
img_135.jpg,0.9913,0.9646,0.978
img_136.jpg,1.0,0.9903,0.9952
img_137.jpg,0.8694,0.9772,0.9233
img_138.jpg,0.327,0.9899,0.6584
img_139.jpg,0.7547,0.9727,0.8637
img_14.jpg,0.8136,0.9633,0.8884
img_140.jpg,0.9512,0.9901,0.9706
img_141.jpg,0.9499,0.9701,0.96
img_142.jpg,1.0,0.9644,0.9822
img_143.jpg,0.8251,0.9811,0.9031
img_144.jpg,0.9995,0.8782,0.9388
img_145.jpg,0.9995,0.9217,0.9606
img_146.jpg,0.6842,0.9797,0.832
img_147.jpg,0.9481,0.9402,0.9442
img_148.jpg,0.9847,0.9615,0.9731
img_149.jpg,0.9517,0.9848,0.9682
img_15.jpg,0.7562,0.9841,0.8702
img_150.jpg,0.9735,0.9795,0.9765
img_151.jpg,0.9969,0.9621,0.9795
img_152.jpg,1.0,0.9908,0.9954
img_153.jpg,0.7837,0.9855,0.8846
img_154.jpg,-0.04,0.9882,0.4741
img_155.jpg,0.9968,0.9664,0.9816
img_156.jpg,0.9802,0.9457,0.963
img_157.jpg,0.9109,0.987,0.949
img_158.jpg,1.0,0.9851,0.9926
img_159.jpg,0.8766,0.9931,0.9348
img_16.jpg,1.0,0.9864,0.9932
img_160.jpg,0.9411,0.9722,0.9566
img_161.jpg,1.0,0.989,0.9945
img_162.jpg,0.9894,0.9672,0.9783
img_163.jpg,0.5513,0.9699,0.7606
img_164.jpg,0.7853,0.9931,0.8892
img_165.jpg,0.9965,0.9857,0.9911
img_166.jpg,1.0,0.9803,0.9902
img_167.jpg,0.9992,0.9792,0.9892
img_168.jpg,0.8417,0.9814,0.9116
img_169.jpg,1.0,0.9841,0.992
img_17.jpg,0.9994,0.9295,0.9644
img_170.jpg,0.9775,0.9798,0.9786
img_171.jpg,0.6725,0.9971,0.8348
img_172.jpg,1.0,0.9648,0.9824
img_173.jpg,0.7516,0.9405,0.846
img_174.jpg,1.0,0.9809,0.9904
img_175.jpg,0.9661,0.9753,0.9707
img_176.jpg,0.9885,0.978,0.9832
img_177.jpg,1.0,0.9736,0.9868
img_178.jpg,1.0,0.9582,0.9791
img_179.jpg,1.0,0.9892,0.9946
img_18.jpg,1.0,0.9846,0.9923
img_180.jpg,0.9965,0.9619,0.9792
img_181.jpg,0.4999,0.9283,0.7141
img_182.jpg,1.0,0.9715,0.9858
img_183.jpg,0.9869,0.9672,0.977
img_184.jpg,0.985,0.9327,0.9588
img_185.jpg,0.997,0.9755,0.9862
img_186.jpg,0.9998,0.9832,0.9915
img_187.jpg,1.0,0.9763,0.9882
img_188.jpg,0.8457,0.9685,0.9071
img_189.jpg,1.0,0.9812,0.9906
img_19.jpg,1.0,0.9921,0.996
img_190.jpg,0.5188,0.9777,0.7483
img_191.jpg,0.9969,0.9485,0.9727
img_192.jpg,0.7431,0.9617,0.8524
img_193.jpg,0.9992,0.9796,0.9894
img_194.jpg,0.985,0.9739,0.9794
img_195.jpg,0.7179,0.9751,0.8465
img_196.jpg,0.4291,0.9046,0.6668
img_197.jpg,1.0,0.992,0.996
img_198.jpg,0.6782,0.9588,0.8185
img_199.jpg,0.0155,0.9649,0.4902
img_2.jpg,0.8629,0.9571,0.91
img_20.jpg,1.0,0.992,0.996
img_200.jpg,0.9292,0.9855,0.9574
img_201.jpg,0.9777,0.9687,0.9732
img_202.jpg,0.9045,0.9547,0.9296
img_203.jpg,-0.1856,0.9748,0.3946
img_204.jpg,0.7987,0.9651,0.8819
img_205.jpg,0.9612,0.9811,0.9712
img_206.jpg,0.9978,0.9743,0.9861
img_207.jpg,1.0,0.9827,0.9914
img_208.jpg,0.9995,0.9905,0.995
img_209.jpg,1.0,0.9754,0.9877
img_21.jpg,0.7857,0.9684,0.877
img_210.jpg,0.9566,0.9728,0.9647
img_211.jpg,0.863,0.9127,0.8878
img_212.jpg,0.9513,0.9396,0.9454
img_213.jpg,1.0,0.978,0.989
img_214.jpg,0.9859,0.986,0.986
img_215.jpg,1.0,0.9797,0.9898
img_216.jpg,0.6531,0.9615,0.8073
img_217.jpg,0.9956,0.9814,0.9885
img_218.jpg,0.9845,0.9787,0.9816
img_219.jpg,1.0,0.997,0.9985
img_22.jpg,0.9885,0.9885,0.9885
img_220.jpg,0.9185,0.9767,0.9476
img_221.jpg,0.9739,0.9202,0.947
img_222.jpg,0.9588,0.9504,0.9546
img_223.jpg,0.0373,0.6224,0.3298
img_224.jpg,0.9102,0.9244,0.9173
img_225.jpg,0.9939,0.9564,0.9752
img_226.jpg,0.9836,0.7513,0.8674
img_227.jpg,0.8975,0.8912,0.8944
img_228.jpg,0.9993,0.8965,0.9479
img_229.jpg,0.9972,0.8834,0.9403
img_23.jpg,0.9803,0.9799,0.9801
img_230.jpg,0.887,0.9454,0.9162
img_231.jpg,0.9837,0.9694,0.9766
img_232.jpg,0.9999,0.9934,0.9966
img_233.jpg,0.9906,0.9593,0.975
img_234.jpg,0.5233,0.9235,0.7234
img_235.jpg,0.3197,0.8349,0.5773
img_236.jpg,0.7993,0.9546,0.877
img_237.jpg,0.9079,0.9346,0.9212
img_238.jpg,0.976,0.9634,0.9697
img_239.jpg,1.0,0.951,0.9755
img_24.jpg,0.7311,0.9794,0.8552
img_240.jpg,0.9699,0.955,0.9624
img_241.jpg,0.9531,0.9553,0.9542
img_242.jpg,0.979,0.9665,0.9728
img_243.jpg,0.2061,0.8906,0.5484
img_244.jpg,1.0,0.9642,0.9821
img_245.jpg,0.9969,0.9772,0.987
img_246.jpg,1.0,0.9507,0.9754
img_247.jpg,0.7681,0.9443,0.8562
img_248.jpg,0.9959,0.8867,0.9413
img_249.jpg,0.9623,0.982,0.9722
img_25.jpg,0.9999,0.9863,0.9931
img_250.jpg,0.8873,0.9929,0.9401
img_251.jpg,0.6882,0.9522,0.8202
img_252.jpg,0.511,0.88,0.6955
img_253.jpg,0.8312,0.9517,0.8914
img_254.jpg,0.9779,0.8881,0.933
img_255.jpg,0.8604,0.9887,0.9246
img_256.jpg,0.7826,0.9142,0.8484
img_257.jpg,0.9997,0.9644,0.982
img_258.jpg,0.7124,0.9203,0.8164
img_259.jpg,0.9997,0.9451,0.9724
img_26.jpg,0.9726,0.9638,0.9682
img_260.jpg,0.8281,0.8903,0.8592
img_261.jpg,0.4048,0.9005,0.6526
img_262.jpg,0.6642,0.9415,0.8029
img_263.jpg,0.9604,0.9346,0.9475
img_264.jpg,0.9986,0.9624,0.9805
img_265.jpg,0.5918,0.9375,0.7647
img_266.jpg,0.9882,0.849,0.9186
img_267.jpg,0.54,0.8758,0.7079
img_268.jpg,0.9817,0.8706,0.9262
img_269.jpg,0.5752,0.952,0.7636
img_27.jpg,0.9963,0.9837,0.99
img_270.jpg,0.6218,0.9521,0.787
img_271.jpg,0.7419,0.9736,0.8578
img_272.jpg,0.9971,0.9248,0.961
img_273.jpg,0.9978,0.9214,0.9596
img_274.jpg,0.6636,0.9554,0.8095
img_275.jpg,0.9869,0.9647,0.9758
img_276.jpg,0.861,0.9613,0.9112
img_277.jpg,0.9532,0.8698,0.9115
img_278.jpg,0.9981,0.9753,0.9867
img_279.jpg,0.9513,0.9741,0.9627
img_28.jpg,0.9522,0.986,0.9691
img_280.jpg,1.0,0.891,0.9455
img_281.jpg,0.9993,0.7604,0.8798
img_282.jpg,0.9753,0.9698,0.9726
img_283.jpg,0.886,0.9184,0.9022
img_284.jpg,0.9978,0.8729,0.9354
img_285.jpg,0.8656,0.9976,0.9316
img_286.jpg,0.8912,0.9883,0.9398
img_287.jpg,0.9641,0.9876,0.9758
img_288.jpg,0.9981,0.9224,0.9602
img_289.jpg,0.9697,0.9784,0.974
img_29.jpg,0.9845,0.9729,0.9787
img_290.jpg,0.9765,0.9508,0.9636
img_291.jpg,0.9925,0.9451,0.9688
img_292.jpg,0.97,0.8582,0.9141
img_293.jpg,0.6835,0.9652,0.8244
img_294.jpg,0.9166,0.9123,0.9144
img_295.jpg,0.9116,0.9698,0.9407
img_296.jpg,0.7561,0.931,0.8436
img_297.jpg,0.6632,0.9741,0.8186
img_298.jpg,0.9322,0.9486,0.9404
img_299.jpg,0.9708,0.9072,0.939
img_3.jpg,0.9152,0.956,0.9356
img_30.jpg,0.8696,0.9338,0.9017
img_300.jpg,0.9862,0.9285,0.9574
img_301.jpg,0.9239,0.9161,0.92
img_302.jpg,0.8062,0.9322,0.8692
img_303.jpg,0.9907,0.938,0.9644
img_304.jpg,0.7495,0.9389,0.8442
img_305.jpg,0.8178,0.8709,0.8444
img_306.jpg,0.9998,0.9171,0.9584
img_307.jpg,0.9897,0.7919,0.8908
img_308.jpg,0.9943,0.9359,0.9651
img_309.jpg,0.6904,0.9873,0.8388
img_31.jpg,0.9594,0.975,0.9672
img_310.jpg,0.9724,0.9676,0.97
img_311.jpg,0.9489,0.8861,0.9175
img_312.jpg,0.9829,0.9574,0.9702
img_313.jpg,0.7145,0.9079,0.8112
img_314.jpg,0.9998,0.9278,0.9638
img_315.jpg,0.7075,0.9358,0.8216
img_316.jpg,0.7703,0.9782,0.8742
img_317.jpg,0.8815,0.9836,0.9326
img_318.jpg,0.994,0.8752,0.9346
img_319.jpg,1.0,0.9365,0.9682
img_32.jpg,0.9575,0.9751,0.9663
img_320.jpg,0.728,0.9303,0.8292
img_321.jpg,0.9768,0.9325,0.9546
img_322.jpg,0.9777,0.9737,0.9757
img_323.jpg,0.8728,0.8639,0.8684
img_324.jpg,0.9998,0.9457,0.9728
img_325.jpg,0.7809,0.9622,0.8716
img_326.jpg,0.8712,0.9576,0.9144
img_327.jpg,0.9999,0.951,0.9754
img_328.jpg,0.7488,0.8997,0.8242
img_329.jpg,0.9813,0.9545,0.9679
img_33.jpg,1.0,0.9791,0.9896
img_330.jpg,0.5874,0.9929,0.7902
img_331.jpg,0.9301,0.9692,0.9496
img_332.jpg,0.7293,0.9517,0.8405
img_333.jpg,0.9093,0.891,0.9002
img_334.jpg,0.8712,0.949,0.9101
img_335.jpg,0.8007,0.9628,0.8818
img_336.jpg,0.9378,0.9354,0.9366
img_337.jpg,0.999,0.94,0.9695
img_338.jpg,1.0,0.9724,0.9862
img_339.jpg,0.9411,0.9132,0.9272
img_34.jpg,1.0,0.977,0.9885
img_340.jpg,0.9998,0.9555,0.9776
img_341.jpg,0.7164,0.9939,0.8552
img_342.jpg,0.4734,0.8819,0.6776
img_343.jpg,0.5699,0.9165,0.7432
img_344.jpg,0.9564,0.9817,0.969
img_345.jpg,0.9911,0.8458,0.9184
img_346.jpg,0.8428,0.9668,0.9048
img_347.jpg,0.5395,0.9488,0.7442
img_348.jpg,0.355,0.9343,0.6446
img_349.jpg,0.5553,0.9097,0.7325
img_35.jpg,0.9358,0.9754,0.9556
img_350.jpg,0.6591,0.8907,0.7749
img_351.jpg,0.6656,0.853,0.7593
img_352.jpg,0.8772,0.9671,0.9222
img_353.jpg,0.1642,0.8972,0.5307
img_354.jpg,0.9604,0.9236,0.942
img_355.jpg,0.9943,0.9342,0.9642
img_356.jpg,0.9531,0.8872,0.9202
img_357.jpg,0.9652,0.9496,0.9574
img_358.jpg,1.0,0.9758,0.9879
img_359.jpg,0.9987,0.9592,0.979
img_36.jpg,1.0,0.9242,0.9621
img_360.jpg,0.7424,0.9144,0.8284
img_361.jpg,0.9257,0.9365,0.9311
img_362.jpg,0.9752,0.9192,0.9472
img_363.jpg,0.9999,0.9566,0.9782
img_364.jpg,0.7913,0.8975,0.8444
img_365.jpg,0.5167,0.9102,0.7134
img_366.jpg,0.9879,0.9669,0.9774
img_367.jpg,0.9095,0.9604,0.935
img_368.jpg,0.9552,0.773,0.8641
img_369.jpg,1.0,0.8876,0.9438
img_37.jpg,0.8151,0.9162,0.8656
img_370.jpg,0.9986,0.841,0.9198
img_371.jpg,0.9929,0.9631,0.978
img_372.jpg,0.99,0.9681,0.979
img_373.jpg,0.9626,0.97,0.9663
img_374.jpg,0.9676,0.9241,0.9458
img_375.jpg,0.7818,0.9581,0.87
img_376.jpg,0.9998,0.8403,0.92
img_377.jpg,0.9848,0.9652,0.975
img_378.jpg,0.5812,0.8908,0.736
img_379.jpg,1.0,0.9705,0.9852
img_38.jpg,0.9316,0.9639,0.9478
img_380.jpg,-0.252,0.9546,0.3513
img_381.jpg,0.8871,0.9948,0.941
img_382.jpg,0.9996,0.9435,0.9716
img_383.jpg,1.0,0.889,0.9445
img_384.jpg,0.9976,0.9429,0.9702
img_385.jpg,0.72,0.9545,0.8372
img_386.jpg,0.9843,0.903,0.9436
img_387.jpg,1.0,0.8985,0.9492
img_388.jpg,0.9979,0.9407,0.9693
img_389.jpg,0.9653,0.8749,0.9201
img_39.jpg,0.9278,0.9638,0.9458
img_390.jpg,0.9518,0.937,0.9444
img_391.jpg,1.0,0.945,0.9725
img_392.jpg,0.9667,0.9647,0.9657
img_393.jpg,0.8253,0.9551,0.8902
img_394.jpg,0.9767,0.875,0.9258
img_395.jpg,0.9999,0.8785,0.9392
img_396.jpg,0.9962,0.8666,0.9314
img_397.jpg,0.5618,0.9859,0.7738
img_398.jpg,0.9785,0.9366,0.9576
